archetype_id,framing_system,num_stories,ie,design_drift,hazard_level,period,sa,sa_1,pga,sa_dbe,sa_dbe_geomean,sa_norm,sa_norm_geomean,p_redtag,p_col,p_residual,loss_ratio_mean,loss_ratio_fractile_90,loss_ratio_median,reoccupancy_prob_loss,reoccupancy_days_mean,reoccupancy_days_fractile_90,reoccupancy_days_median,function_prob_loss,function_days_mean,function_days_fractile_90,function_days_median,full_repair_days_mean,full_repair_days_fractile_90,full_repair_days_median,pRO_rep,pRO_str,pRO_nsd,pRO_nsa,pFR_rep,pFR_str,pFR_nsd,pFR_nsa,p_long_lead,p_inspection,p_financing,p_contractor_mob,p_eng_mob,p_design,p_permit_rapid,p_permit_full
F4-REF,C1a,4,1,0.02,108,1.014939603,0.167835393,0.169274865,0.221743847,0.591168182,0.454744755,0.283904646,0.36907604,0,0,0,0.010631196,0.025564193,0.005566116,0.4398,27.75231667,111,0,0.65,111.448,287,85,151,325,118,0,0,0.32,0.1652,0,0.001,0.32,0.4904,0.464,0,0.1428,0.9958,0.2292,0.2292,0.9958,0.2292
F4-REF,C1a,4,1,0.02,475,1.014939603,0.415518277,0.419034108,0.489513393,0.591168182,0.454744755,0.702876592,0.913739569,0.1238,0,0.0304,0.15707581,0.324890268,0.107072552,0.9396,149.0758565,248.0583333,145.8333333,0.9768,222.1700516,405,201.0333333,259,457,237,0.0304,0.0934,0.8886,0.3222,0.0304,0.285,0.8886,0.7238,0.749,0.2026,0.8526,0.9696,0.8122,0.8122,0.9696,0.8122
F4-REF,C1a,4,1,0.02,975,1.014939603,0.598066209,0.603135526,0.672095046,0.591168182,0.454744755,1.011668468,1.315169008,0.3902,0,0.1562,0.360722699,1,0.260133266,0.9896,248.6737546,473,224,0.9974,300.9024628,473,280,334,473,321,0.1562,0.234,0.8308,0.3912,0.1562,0.4862,0.8308,0.714,0.7586,0.39,0.8208,0.8438,0.8028,0.8028,0.8438,0.8028
F4-REF,C1a,4,1,0.02,2475,1.014939603,0.901801623,0.909467399,0.949423793,0.591168182,0.454744755,1.525456968,1.983094058,0.741,0,0.479,0.675895246,1,0.72247913,0.9996,400.4029196,473,473,0.9998,437.8660456,518,473,450,543,473,0.479,0.262,0.5202,0.3634,0.479,0.421,0.5202,0.4924,0.51,0.3732,0.5208,0.521,0.5174,0.5174,0.521,0.5174
F8-REF,C1a,8,1,0.02,108,1.462700891,0.124692367,0.169274865,0.221743847,0.410200065,0.315538511,0.303979394,0.395173213,0.0002,0,0,0.005971691,0.016753896,0.002404044,0.4264,27.54814974,110.5,0,0.6552,123.8105897,310,99,165,349,135,0,0.0002,0.3034,0.1826,0,0.001,0.3034,0.5264,0.5208,0.0002,0.069,0.9954,0.2352,0.2352,0.9954,0.2352
F8-REF,C1a,8,1,0.02,475,1.462700891,0.310143776,0.419034108,0.489513393,0.410200065,0.315538511,0.756079295,0.982903083,0.1038,0,0.0008,0.072090427,0.190274129,0.039314821,0.8834,124.894707,230,125.6833333,0.943,227.8716731,412,212,257,439,241,0.0008,0.103,0.851,0.3338,0.0008,0.23,0.851,0.7524,0.7874,0.167,0.6752,0.9984,0.7854,0.7854,0.9984,0.7854
F8-REF,C1a,8,1,0.02,975,1.462700891,0.446131523,0.603135526,0.672095046,0.410200065,0.315538511,1.087594959,1.413873447,0.2192,0,0.0398,0.147097944,0.308789252,0.082462135,0.9578,189.339816,321.25,173.5,0.9888,298.5644582,511,284.5,320,523,305,0.0398,0.1794,0.9054,0.5212,0.0398,0.3622,0.9054,0.8352,0.8562,0.2794,0.8016,0.9602,0.8574,0.8574,0.9602,0.8574
F8-REF,C1a,8,1,0.02,2475,1.462700891,0.672047326,0.909467399,0.949423793,0.410200065,0.315538511,1.638340372,2.129842483,0.519,0,0.2444,0.378395382,1,0.217159825,0.9978,359.1502126,584,314.4027778,0.9996,449.553557,584,458,457,584,466,0.2444,0.2746,0.7506,0.5368,0.2444,0.4932,0.7506,0.7144,0.7296,0.4088,0.738,0.7556,0.7402,0.7402,0.7556,0.7402
F12-REF,C1a,12,1,0.02,108,2.085669344,0.070420539,0.169274865,0.221743847,0.287677432,0.220563581,0.244789932,0.319275461,0.0002,0,0,0.005776797,0.015828019,0.001828359,0.3954,26.49378656,110.25,0,0.6074,125.6133833,332.8333333,92.75,179,381,147,0,0.0002,0.2718,0.1874,0,0.001,0.2718,0.5094,0.5562,0.0004,0.0706,0.991,0.2246,0.2246,0.991,0.2246
F12-REF,C1a,12,1,0.02,475,2.085669344,0.17751354,0.419034108,0.489513393,0.287677432,0.220563581,0.61705758,0.804817999,0.041,0,0,0.045586764,0.10836165,0.030024476,0.9012,114.2408724,205,115.5,0.9474,235.3042437,432,218.0833333,274,459,261,0,0.041,0.869,0.3692,0,0.146,0.869,0.7494,0.8056,0.0874,0.613,1,0.7958,0.7958,1,0.7958
